securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
Energizer Holdings Inc 4.375%,20200930,Corporation,0.05,84.97,74.41,76.92,87.66,98.42,High Yield Bond Portfolio,347,39,103,Energizer Holdings Inc,," $3,400,000,000 "," $566,666,667 ", $6 ," $435,726.35 ",,2020-09-30,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,5.09,6.25,2029-03-31,5.27," 512,826 ",B,7.459,,,,MO,US,USD,DEV,Storage Battery Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",,,,,NA,NA,,,,,,29272WAD1,US29272WAD11,332178266,bucket_51_max
White Cap Buyer Llc 6.875%,20201231,Limited Partnership,0.03,86.66,81.8,80.14,94.88,104.39,High Yield Bond Portfolio,360,22,103,White Cap Buyer Llc,,,,," $301,206.49 ",,2020-10-19,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,4.44,5.79,2028-10-15,4.57," 347,555 ",Below B,9.9968,,,,DE,US,USD,DEV,Other Construction Material Merchant Wholesalers,"Merchant Wholesalers, Durable Good",,,,,NA,NA,,,,,,96350RAA2,US96350RAA23,343614072,bucket_51_max
"CCO Holdings, LLC/ CCO Holdings Capital Corp. 5.5%",20180630,Corporation,0.02,96.97,94.9,97.75,101.58,102.87,High Yield Bond Portfolio,357,29,103,"CCO Holdings, LLC/ CCO Holdings Capital Corp.",," $24,947,514,000 "," $1,187,976,857 ", $21 ," $216,833.58 ",,2016-04-21,Exempt Issue,Bond - Corporate Bond,,,Communication Services,,,,,NA,,2.45,3.33,2026-05-01,2.99," 223,602 ",BB,6.5772,,,,DE,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,1248EPBR3,US1248EPBR37,92225586,bucket_51_max
Centerfield Media Parent Inc 6.625%,20210930,Corporation,0.02,64.13,79.27,80.87,95.11,100.6,High Yield Bond Portfolio,438,25,103,Centerfield Media Parent Inc,,,,," $151,189.42 ",,2021-07-30,Exempt Issue,Bond - Corporate Bond,,,Real Estate,,,,,NA,,2.73,3.59,2026-08-01,2.84," 235,754 ",Below B,21.5266,,,,DE,US,USD,DEV,Offices of Real Estate Agents and Brokers,Real Estate,,,,,NA,NA,,,,,,60041CAA6,US60041CAA62,393128181,bucket_51_max
Dell International L.L.C. and EMC Corporation 8.35%,20210630,Corporation,0.19,114.45,108.14,124.79,146.65,166.38,held_directly,396,140,104,Dell International L.L.C. and EMC Corporation," $1,986,382,000 "," $103,280,191,000 "," $2,151,670,646 ", $48 ," $1,791,083.13 ",0.08,2021-06-15,SEC Registered,Bond - Corporate Bond,Note,Senior Secured,Technology,,,,,NA,8.35,10.66,23.54,2046-07-15,11.01," 1,564,987 ",BBB,7.1213,,,,DE,US,USD,DEV,Electronic Computer Manufacturing,Computer and Electronic Product Manufacturing,,,,,No,NA,,,,,,24703TAK2,US24703TAK25,383590448,bucket_51_max
"United Rentals (North America), Inc. 3.75%",20210930,Corporation,0.01,81.71,78.71,82.31,93.43,100.84,High Yield Bond Portfolio,350,36,104,"United Rentals (North America), Inc.",," $5,250,000,000 "," $875,000,000 ", $6 ," $49,649.95 ",,2021-08-13,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,6.89,9.04,2032-01-15,7.34," 60,761 ",BB,6.4722,,,,DE,US,USD,DEV,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,Rental and Leasing Services,,,,,NA,NA,,,,,,911365BP8,US911365BP80,397753285,bucket_51_max
Morgan Stanley 4.21%,20220630,Corporation,0.50,95.26,93.66,97.86,,,held_directly,467,114,104,Morgan Stanley,," $22,253,336,428 "," $117,122,823 ", $190 ," $4,763,166.73 ",,2022-04-20,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.84,4.30,2028-04-20,3.84," 5,000,026 ",A,5.4615,,,,DE,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,61747YER2,US61747YER27,449738936,bucket_51_max
ARD Finance S.A. 6.5%,20191231,Corporation,0.03,69.71,68.67,74.34,91.62,103.1,High Yield Bond Portfolio,525,19,104,ARD Finance S.A.,," $5,106,205,100 "," $851,034,183 ", $6 ," $329,270.13 ",,2019-11-20,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,,,2027-06-30,," 472,334 ",Below B,,,,,,IE,USD,DEV,Metal Can Manufacturing,Fabricated Metal Product Manufacturing,,,,,NA,NA,,,,,,00191AAD8,US00191AAD81,272598401,bucket_51_max
"CSC Holdings, LLC 4.125%",20200630,Limited Partnership,0.03,70.8,74.88,78.27,87.82,97.96,High Yield Bond Portfolio,435,25,105,"CSC Holdings, LLC",," $17,475,024,000 "," $1,248,216,000 ", $14 ," $261,568.81 ",,2020-06-16,Exempt Issue,Bond - Corporate Bond,,,Communication Services,,,,,NA,,6.26,7.92,2030-12-01,6.28," 369,429 ",B,9.4912,,,,DE,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,126307BB2,US126307BB25,316096128,bucket_51_max
The Gap Inc 3.625%,20210930,Corporation,0.01,70.67,65.16,70.4,89.3,99.13,High Yield Bond Portfolio,480,44,105,The Gap Inc,," $6,750,000,000 "," $750,000,000 ", $9 ," $101,342.87 ",,2021-09-27,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,5.55,6.75,2029-10-01,5.61," 143,397 ",BB,9.6637,,,,DE,US,USD,DEV,Family Clothing Stores,Clothing and Clothing Accessories Store,,,,,NA,NA,,,,,,364760AP3,US364760AP35,405658606,bucket_51_max
Midas Opco Holdings LLC 5.625%,20210930,Limited Partnership,0.05,82.65,82.44,80.63,94.47,102.53,High Yield Bond Portfolio,318,38,105,Midas Opco Holdings LLC,,,,," $506,182.82 ",,2021-08-20,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,5.12,6.62,2029-08-15,5.26," 612,475 ",BB,9.2196,,,,DE,US,USD,DEV,Advertising Agencies,"Professional, Scientific, and Technical Services",,,,,NA,NA,,,,,,59565JAA9,US59565JAA97,399441929,bucket_51_max
Tibco Software Inc 6.5%,20220930,Corporation,0.02,84.41,84.62,,,,High Yield Bond Portfolio,429,35,105,Tibco Software Inc,," $4,000,000,000 "," $4,000,000,000 ", $1 ," $147,705.50 ",,2022-09-30,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,4.78,6.25,2029-03-31,4.89," 174,993 ",B,9.9444,,,,DE,US,USD,DEV,Software Publishers,Publishing Industries (except Internet),,,,,NA,NA,,,,,,88632QAE3,US88632QAE35,477305504,bucket_51_max
Range Resources Corp. 8.25%,20211231,Corporation,0.01,103.18,101.96,102.12,109.73,111.77,High Yield Bond Portfolio,289,31,105,Range Resources Corp.,," $4,399,949,000 "," $628,564,143 ", $7 ," $100,308.78 ",,2021-12-08,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,2.43,6.04,2029-01-15,4.72," 97,218 ",BB,7.6108,,,,DE,US,USD,DEV,Crude Petroleum Extraction,Oil and Gas Extraction,,,,,NA,NA,,,,,,75281ABJ7,US75281ABJ79,421981952,bucket_51_max
Bank of America Corporation 3.705%,20180630,Corporation,0.21,92.69,91.11,95.42,100.77,108.31,held_directly,483,105,105,Bank of America Corporation,," $23,200,075,786 "," $66,475,862 ", $349 ," $2,016,044.61 ",,2017-04-24,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.86,4.32,2028-04-24,3.88," 2,175,039 ",A,5.6393,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,06051GGL7,US06051GGL77,127949468,bucket_51_max
Antero Midstream Partners LP / Antero Midstream Finance Corp 5.75%,20190331,Limited Partnership,0.03,94.71,92.69,93.17,102,103.35,High Yield Bond Portfolio,352,45,105,Antero Midstream Partners LP / Antero Midstream Finance Corp,," $2,900,000,000 "," $725,000,000 ", $4 ," $276,219.48 ",,2019-02-25,Exempt Issue,Bond - Corporate Bond,,,Energy,,,,,NA,,3.23,4.17,2027-03-01,3.62," 291,655 ",B,7.2901,,,,CO,US,USD,DEV,Pipeline Transportation of Natural Gas,Pipeline Transportation,,,,,NA,NA,,,,,,03690AAD8,US03690AAD81,227281618,bucket_51_max
Adient Global Holdings Ltd 4.875%,20180630,Corporation,0.03,93.24,87.76,87.91,95.35,102.64,High Yield Bond Portfolio,352,26,105,Adient Global Holdings Ltd,,,,," $278,749.22 ",,2016-08-19,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,3.05,3.62,2026-08-15,3.24," 298,946 ",B,7.0639,,,,,JE,USD,,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,00687YAA3,US00687YAA38,102369340,bucket_51_max
BWAY Holding Co. 7.25%,20180630,Corporation,0.03,92.68,88.11,87.45,99.23,100.36,High Yield Bond Portfolio,492,36,105,BWAY Holding Co.,,,,," $254,531.31 ",,2017-04-03,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,2.00,2.29,2025-04-15,2.04," 274,641 ",Below B,11.0459,,,,DE,US,USD,DEV,Metal Can Manufacturing,Fabricated Metal Product Manufacturing,,,,,NA,NA,,,,,,12429TAE4,US12429TAE47,125070865,bucket_51_max
Bank of America Corporation 2.496%,20200630,Corporation,0.22,81.49,79.02,84.6,92.03,100.33,held_directly,452,137,106,Bank of America Corporation,," $23,200,075,786 "," $66,475,862 ", $349 ," $2,037,329.86 ",,2020-02-13,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,6.20,7.12,2031-02-13,6.24," 2,499,995 ",A,5.6899,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,06051GHZ5,US06051GHZ54,291768544,bucket_51_max
Targa Resources Partners LP/Targa Resources Finance Corp. 5.5%,20201231,Limited Partnership,0.01,94.24,89.97,95.6,103.98,109.58,High Yield Bond Portfolio,357,42,106,Targa Resources Partners LP/Targa Resources Finance Corp.,," $14,105,100,000 "," $783,616,667 ", $18 ," $137,428.40 ",,2020-12-01,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,4.92,7.17,2030-03-01,5.79," 145,827 ",BB,6.5438,,,,DE,US,USD,DEV,Support Activities for Oil and Gas Operations,Support Activities for Mining,,,,,NA,NA,,,,,,87612BBQ4,US87612BBQ41,274617866,bucket_51_max
Bristol-Myers Squibb Company 3.4%,20220630,Corporation,0.48,92.77,90.78,96.61,101.9,109.13,held_directly,435,135,106,Bristol-Myers Squibb Company,," $15,522,002,000 "," $970,125,125 ", $16 ," $4,545,584.14 ",,2020-07-15,SEC Registered,Bond - Corporate Bond,,,Healthcare,,,,,NA,,5.62,6.57,2029-07-26,5.78," 4,899,974 ",A,4.7328,,,,DE,US,USD,DEV,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,,,,,NA,NA,,,,,,110122CP1,US110122CP17,314843966,bucket_51_max
Adapthealth Llc 5.125%,20210930,Limited Partnership,0.01,85.26,82.61,84.42,93.07,101.9,High Yield Bond Portfolio,409,33,106,Adapthealth Llc,,,,," $113,970.01 ",,2021-08-19,Exempt Issue,Bond - Corporate Bond,,,Healthcare,,,,,NA,,5.45,7.17,2030-03-01,5.76," 133,675 ",B,7.8773,,,,DE,US,USD,DEV,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","Merchant Wholesalers, Durable Good",,,,,NA,NA,,,,,,00653VAE1,US00653VAE11,399645730,bucket_51_max
"Netflix, Inc. 4.875%",20220331,Corporation,0.27,96.78,93.81,94.32,105.03,114.17,held_directly,496,22,106,"Netflix, Inc.",," $10,301,506,589 "," $1,471,643,798 ", $7 ," $2,545,432.52 ",,2018-11-13,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.52,5.29,2028-04-15,4.59," 2,630,023 ",BB,5.6343,,,,DE,US,USD,DEV,Video Tape and Disc Rental,Rental and Leasing Services,,,,,NA,NA,,,,,,64110LAS5,US64110LAS51,207491170,bucket_51_max
Morgan Stanley 3.772%,20180630,Corporation,0.73,91.75,90.07,94.98,100.87,109.19,held_directly,377,115,106,Morgan Stanley," $3,000,000,000 "," $22,253,336,428 "," $117,122,823 ", $190 ," $6,881,096.75 ",0.25,2018-01-23,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,3.772,4.40,5.07,2029-01-24,4.43," 7,500,017 ",A,5.6724,,,,DE,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,No,NA,,,,,,61744YAP3,US61744YAP34,158748304,bucket_51_max
Post Holdings Inc. 5.75%,20180630,Corporation,0.01,96.85,95.56,97,100.62,103.5,High Yield Bond Portfolio,463,29,106,Post Holdings Inc.,," $6,300,000,000 "," $1,050,000,000 ", $6 ," $89,545.90 ",,2017-02-14,Exempt Issue,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,2.93,4.17,2027-03-01,3.64," 92,455 ",B,6.6644,,,,MO,US,USD,DEV,Frozen Specialty Food Manufacturing,Food Manufacturing,,,,,NA,NA,,,,,,737446AM6,US737446AM60,120072352,bucket_51_max
Citigroup Inc. 4.91%,20220630,Corporation,0.20,93.93,92.14,98.79,,,held_directly,457,123,107,Citigroup Inc.," $2,500,000,000 "," $184,072,858,362 "," $148,805,868 "," $1,237 "," $1,897,414.80 ",0.08,2022-05-24,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,4.91,7.33,9.40,2033-05-24,7.99," 2,020,003 ",A,5.729,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,172967NU1,US172967NU15,455385167,bucket_51_max
Owens Brockway Glass Container Inc. 6.625%,20200630,Corporation,0.02,97.18,90.81,93.46,99.16,104.85,High Yield Bond Portfolio,371,39,107,Owens Brockway Glass Container Inc.,,,,," $155,596.23 ",,2020-05-13,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,3.03,4.37,2027-05-13,3.72," 160,118 ",B,7.4331,,,,OH,US,USD,DEV,Glass Container Manufacturing,Nonmetallic Mineral Product Manufacturing,,,,,NA,NA,,,,,,69073TAT0,US69073TAT07,311606998,bucket_51_max
Standard Buildings Solutions Inc. 5%,20180630,Corporation,0.03,92.42,88.73,89.4,99.31,102.63,High Yield Bond Portfolio,423,30,107,Standard Buildings Solutions Inc.,," $7,079,124,439 "," $786,569,382 ", $9 ," $307,739.09 ",,2017-02-07,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,3.42,4.13,2027-02-15,3.63," 332,972 ",BB,7.1958,,,,DE,US,USD,DEV,Reconstituted Wood Product Manufacturing,Wood Product Manufacturing,,,,,NA,NA,,,,,,853496AC1,US853496AC17,119670544,bucket_51_max
Vici Properties Inc 4.625%,20220930,REIT,0.02,96,94.23,95.3,,,High Yield Bond Portfolio,436,22,107,Vici Properties Inc,,,,," $142,334.88 ",,2022-04-28,Exempt Issue,Bond - Corporate Bond,,,Real Estate,,,,,NA,,2.23,2.46,2025-06-15,2.28," 148,258 ",BBB,6.4655,,,,MD,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,92564RAG0,US92564RAG02,448194601,bucket_51_max
Wells Fargo & Company 3.908%,20220630,Corporation,0.72,97.28,95.65,98.47,,,held_directly,430,116,107,Wells Fargo & Company," $2,750,000,000 "," $145,570,139,989 "," $262,761,986 ", $554 ," $6,858,203.28 ",0.26,2022-04-25,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,3.908,2.16,2.32,2026-04-25,2.17," 7,050,031 ",BBB,5.3671,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,95000U2X0,US95000U2X04,126314784,bucket_51_max
Antero Resources Corporation 5.375%,20210630,Corporation,0.01,92.85,90.13,91.34,102.28,107.25,High Yield Bond Portfolio,352,27,108,Antero Resources Corporation,," $2,500,000,000 "," $500,000,000 ", $5 ," $101,546.13 ",,2021-06-01,Exempt Issue,Bond - Corporate Bond,,,Energy,,,,,NA,,5.07,7.17,2030-03-01,5.80," 109,371 ",BB,6.6688,,,,DE,US,USD,DEV,Crude Petroleum Extraction,Oil and Gas Extraction,,,,,NA,NA,,,,,,03674XAS5,US03674XAS53,381032295,bucket_51_max
Tegna Inc 5%,20201231,Corporation,0.04,95.11,92.28,94.85,100.38,102.77,High Yield Bond Portfolio,431,47,108,Tegna Inc,," $6,500,000,000 "," $928,571,429 ", $7 ," $409,134.92 ",,2020-09-28,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,4.64,6.71,2029-09-15,5.59," 430,191 ",BB,5.9347,,,,DE,US,USD,DEV,"Independent Artists, Writers, and Performers","Performing Arts, Spectator Sports, and Related Industries",,,,,NA,NA,,,,,,87901JAH8,US87901JAH86,342064566,bucket_51_max
W. R. Grace Holdings Llc 5.625%,20210930,Limited Partnership,0.02,80.98,75.25,73.88,93.76,102.89,High Yield Bond Portfolio,519,36,108,W. R. Grace Holdings Llc," $1,155,000,000 "," $1,155,000,000 "," $1,155,000,000 ", $1 ," $147,608.24 ",0.02,2021-08-25,Exempt Issue,Bond - Corporate Bond,Note,Senior,Basic Materials,,,,,NA,5.625,5.10,6.62,2029-08-15,5.23," 182,284 ",B,9.6241,,,,DE,US,USD,DEV,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",Chemical Manufacturing,,,,,No,NA,,,,,,92943GAA9,US92943GAA94,399238210,bucket_51_max
Equitrans Midstream Corporation 4.5%,20210331,Corporation,0.02,84.14,80.73,81.37,93.7,103.15,High Yield Bond Portfolio,345,36,108,Equitrans Midstream Corporation," $800,000,000 "," $6,200,000,000 "," $775,000,000 ", $8 ," $190,182.96 ",0.03,2021-01-08,Exempt Issue,Bond - Corporate Bond,Note,Senior,Energy,,,,,NA,4.5,4.94,6.04,2029-01-15,5.08," 226,032 ",BB,7.8803,,,,PA,US,USD,DEV,Pipeline Transportation of Natural Gas,Pipeline Transportation,,,,,No,NA,,,,,,26885BAK6,US26885BAK61,358058352,bucket_51_max
Equitrans Midstream Corporation 5.5%,20200331,Corporation,0.02,89.6,85.69,86.53,100.57,109.39,High Yield Bond Portfolio,317,44,108,Equitrans Midstream Corporation," $850,000,000 "," $6,200,000,000 "," $775,000,000 ", $8 ," $165,495.61 ",0.02,2018-06-25,SEC Registered,Bond - Corporate Bond,Note,Senior,Energy,,,,,NA,5.5,4.47,5.54,2028-07-15,4.62," 184,715 ",BB,7.894,,,,PA,US,USD,DEV,Pipeline Transportation of Natural Gas,Pipeline Transportation,,,,,No,NA,,,,,,26885BAC4,US26885BAC46,182911161,bucket_51_max
Scripps Escrow Inc 5.875%,20190930,Corporation,0.01,89.41,87.19,87.67,100.22,105.16,High Yield Bond Portfolio,490,24,108,Scripps Escrow Inc,,,,," $63,017.62 ",,2019-07-26,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.66,4.54,2027-07-15,3.85," 70,483 ",B,8.7958,,,,OH,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,81104PAA7,US81104PAA75,250024084,bucket_51_max
Bank of America Corporation 4.376%,20220630,Corporation,0.50,95.79,93.83,98.54,,,held_directly,451,125,108,Bank of America Corporation,," $23,200,075,786 "," $66,475,862 ", $349 ," $4,683,985.59 ",,2022-04-27,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.84,4.32,2028-04-27,3.84," 4,890,012 ",A,5.4862,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,06051GKP3,US06051GKP36,450578690,bucket_51_max
Morgan Stanley 3.625%,20191231,Corporation,0.40,94.45,93.14,96.94,100.96,108.51,held_directly,358,143,108,Morgan Stanley,," $22,253,336,428 "," $117,122,823 ", $190 ," $3,777,895.99 ",,2017-01-20,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.63,4.06,2027-01-20,3.70," 4,000,015 ",A,5.201,,,,DE,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,61746BEF9,US61746BEF94,118127178,bucket_51_max
Anheuser-Busch Companies LLC / Anheuser-Busch InBev Worldwide Inc 3.65%,20190630,Corporation,0.56,96.36,96.16,98.54,102.32,107.52,held_directly,371,123,108,Anheuser-Busch Companies LLC / Anheuser-Busch InBev Worldwide Inc,,,,," $5,342,882.43 ",,2019-05-15,SEC Registered,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,2.75,3.09,2026-02-01,2.87," 5,544,956 ",BBB,4.9781,,,,DE,US,USD,DEV,Breweries,Beverage and Tobacco Product Manufacturing,,,,,NA,NA,,,,,,03522AAG5,US03522AAG58,238591437,bucket_51_max
USA Compression Partners LP / USA Compression Finance Corp 6.875%,20190331,Corporation,0.04,96.09,92.16,91.1,101.07,104.36,High Yield Bond Portfolio,438,41,108,USA Compression Partners LP / USA Compression Finance Corp,," $4,425,000,000 "," $737,500,000 ", $6 ," $351,806.52 ",,2019-01-08,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,2.48,3.25,2026-04-01,2.85," 366,124 ",B,8.323,,,,DE,US,USD,DEV,Pipeline Transportation of Crude Oil,Pipeline Transportation,,,,,NA,NA,,,,,,91740PAC2,US91740PAC23,166729408,bucket_51_max
Virgin Media Finance PLC 5%,20200630,Corporation,0.01,80.37,73.69,79.52,94.59,100.16,High Yield Bond Portfolio,423,27,109,Virgin Media Finance PLC," $675,000,000 "," $8,018,279,209 "," $534,551,947 ", $15 ," $56,647.00 ",0.01,2020-06-11,Exempt Issue,Bond - Corporate Bond,Note,Senior,Communication Services,,,,,NA,5,5.78,7.54,2030-07-15,5.95," 70,483 ",B,8.6235,,,,,GB,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,No,NA,,,,,,92769VAJ8,US92769VAJ89,316299816,bucket_51_max
Madison IAQ LLC 5.875%,20210630,Limited Partnership,0.05,68.73,69.83,76.89,89.89,100.15,High Yield Bond Portfolio,538,35,109,Madison IAQ LLC,,,,," $504,460.96 ",,2021-06-21,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.93,6.50,2029-06-30,4.91," 733,998 ",Below B,13.2427,,,,DE,US,USD,DEV,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Machinery Manufacturing,,,,,NA,NA,,,,,,55760LAB3,US55760LAB36,386632662,bucket_51_max
USA Compression Partners LP / USA Compression Finance Corp 6.875%,20191231,Corporation,0.02,93.66,91.04,88.89,100.54,105.86,High Yield Bond Portfolio,320,38,109,USA Compression Partners LP / USA Compression Finance Corp,," $4,425,000,000 "," $737,500,000 ", $6 ," $163,899.16 ",,2019-12-17,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,3.53,4.67,2027-09-01,3.88," 174,993 ",B,8.5898,,,,DE,US,USD,DEV,Pipeline Transportation of Crude Oil,Pipeline Transportation,,,,,NA,NA,,,,,,91740PAF5,US91740PAF53,227504038,bucket_51_max
Diamond Sports Group LLC / Diamond Sports Finance Co 5.375%,20220630,Corporation,0.00,11.88,20.03,25.12,38.87,,High Yield Bond Portfolio,626,34,109,Diamond Sports Group LLC / Diamond Sports Finance Co,,,,," $21,646.24 ",,2022-03-16,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,1.54,3.62,2026-08-15,1.78," 182,284 ",Below B,92.2466,,,,DE,US,USD,DEV,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Store",,,,,NA,NA,,,,,,25277LAF3,US25277LAF31,436771930,bucket_51_max
UPC Broadband Finco B.V. 4.875%,20210630,Corporation,0.05,83.38,77.76,81.8,94.03,102.66,High Yield Bond Portfolio,398,39,110,UPC Broadband Finco B.V.," $1,250,000,000 "," $2,500,000,000 "," $1,250,000,000 ", $2 ," $447,864.89 ",0.04,2021-04-21,Exempt Issue,Bond - Corporate Bond,Note,Senior Secured,Financial Services,,,,,NA,4.875,6.34,8.54,2031-07-15,6.67," 537,131 ",BB,7.586,,,,,NL,USD,DEV,"Trust, Fiduciary, and Custody Activities","Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,No,NA,,,,,,90320BAA7,US90320BAA70,374520405,bucket_51_max
JPMorgan Chase & Co. 4.323%,20220630,Corporation,0.53,95.65,93.8,98.44,,,held_directly,467,138,110,JPMorgan Chase & Co.," $3,000,000,000 "," $214,878,074,401 "," $147,784,095 "," $1,454 "," $5,021,806.21 ",0.18,2022-04-26,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,4.323,3.82,4.32,2028-04-26,3.84," 5,250,023 ",A,5.5647,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,46647PDA1,US46647PDA12,449960137,bucket_51_max
Caesars Resort Collection LLC/CRC Finco Inc 5.75%,20200930,Limited Partnership,0.02,98.04,96.62,95.89,102.17,104.89,High Yield Bond Portfolio,425,37,110,Caesars Resort Collection LLC/CRC Finco Inc,," $5,100,000,000 "," $1,700,000,000 ", $3 ," $214,446.24 ",,2020-07-06,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,1.90,2.50,2025-07-01,2.29," 218,741 ",BB,6.6791,,,,DE,US,USD,DEV,Hotels (except Casino Hotels) and Motels,Accommodation,,,,,NA,NA,,,,,,12770RAA1,US12770RAA14,319713693,bucket_51_max
VMware Inc 2.2%,20210930,Corporation,0.44,76.13,72.94,78.85,88.2,98.22,held_directly,434,115,111,VMware Inc,,,,," $4,194,519.36 ",,2021-08-02,SEC Registered,Bond - Corporate Bond,,,,,,,,NA,,7.45,8.62,2031-08-15,7.55," 5,509,993 ",BBB,5.7909,,,,DE,US,USD,DEV,,,,,,,NA,NA,,,,,,928563AL9,US928563AL97,395824864,bucket_51_max
US Foods Inc 4.75%,20210331,Corporation,0.02,88.91,85.81,87.59,95.51,101.91,High Yield Bond Portfolio,497,45,111,US Foods Inc,," $1,700,000,000 "," $566,666,667 ", $3 ," $164,229.76 ",,2021-02-04,Exempt Issue,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,4.80,6.13,2029-02-15,5.15," 184,715 ",B,7.0321,,,,MD,US,USD,DEV,Other Grocery and Related Products Merchant Wholesalers,"Merchant Wholesalers, Nondurable Good",,,,,NA,NA,,,,,,90290MAD3,US90290MAD39,362143605,bucket_51_max
